date	open	close	pct_change	volume	daily_vwap	high_fidelity
2026-04-17	38.5100	35.6200		2025004	36.2372	True
2026-04-20	35.6900	38.3900	7.7765	1482000	37.3355	True
2026-04-21	39.2800	41.2700	7.5020	3456130	41.9761	True
2026-04-22	42.2900	43.3600	5.0642	2206828	41.7928	True
2026-04-23	43.0600	35.7100	-17.6430	4500312	36.3924	True
2026-04-24	35.8000	31.0400	-13.0776	3508869	32.6430	True
2026-04-27	31.1400	32.5850	4.9774	1876032	32.2909	True
2026-04-28	31.8200	31.9200	-2.0408	1160243	31.3034	True
2026-04-29	31.5700	29.2350	-8.4117	1585492	29.3689	True
2026-04-30	30.5000	33.6496	15.1004	733415	32.4133	True
