date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-09-01	8.8500	8.8200		2508400	8.7924	8.7924	True
2026-09-02	8.7800	8.6700	-1.7007	2997800	8.6191	8.6961	True
2026-09-03	8.8400	8.5100	-1.8454	2679500	8.5197	8.6390	True
2026-09-04	8.4600	8.9600	5.2879	2655300	8.7903	8.6764	True
2026-09-08	8.9400	8.9300	-0.3348	2830700	8.9858	8.7410	True
2026-09-09	8.8000	8.0700	-9.6305	2978800	8.4114	8.6817	True
2026-09-10	7.9800	7.4500	-7.6828	3660500	7.8094	8.5254	True
2026-09-11	7.6600	7.8800	5.7718	3163400	7.9128	8.4535	True
2026-09-14	7.7900	7.7100	-2.1574	2582200	7.8843	8.3970	True
2026-09-15	7.7000	7.8600	1.9455	1303366	7.6878	8.3598	True
